IID,WOLF DNA,HETEROZYGOTE SNPs,COMPLETE SNP CELLS,RELATIVE FST,State/Province
zt170,0.0922,11,63,0.174603175,New York
zt169,0.1037,8,63,0.126984127,New York
zt179,0.1198,7,57,0.122807018,New York
zt320,0.1215,15,62,0.241935484,New York
zt172,0.1216,10,62,0.161290323,New York
zm15149,0.1218,7,60,0.116666667,Ohio
zt176,0.1225,15,62,0.241935484,New York
zt178,0.1258,10,60,0.166666667,New York
zt177,0.132,12,61,0.196721311,New York
zt337,0.1377,13,63,0.206349206,New York
zm15729,0.1384,17,63,0.26984127,Maine
zt173,0.1402,13,62,0.209677419,New York
ztpb13,0.1409,19,63,0.301587302,New York
zm14673,0.1461,16,62,0.258064516,Ohio
zt263,0.1495,12,62,0.193548387,New York
zm14663,0.1532,19,61,0.31147541,Vermont
zt449,0.1554,19,63,0.301587302,Pennsylvania
zt174,0.1555,13,56,0.232142857,New York
zt289,0.159,12,56,0.214285714,New York
zt140,0.16,19,63,0.301587302,New York
zt181,0.1636,11,58,0.189655172,New York
zm14640,0.1666,15,60,0.25,New York
zt413,0.1717,23,63,0.365079365,New York
zt183,0.1734,8,55,0.145454545,New York
zm15692,0.1746,17,63,0.26984127,Maine
zt273,0.1756,15,60,0.25,New York
zt319,0.1759,20,63,0.317460317,New York
zm14636,0.176,21,62,0.338709677,New York
zt361,0.1762,17,63,0.26984127,New York
zt627,0.1764,16,61,0.262295082,Pennsylvania
zt404,0.1771,17,63,0.26984127,New York
zt241,0.1779,23,61,0.37704918,New York
zt267,0.1786,10,58,0.172413793,New York
adk2706,0.1798,15,63,0.238095238,New York
zt222,0.1799,21,63,0.333333333,New York
zm14781,0.1802,19,63,0.301587302,Vermont
zt641,0.1814,19,60,0.316666667,Pennsylvania
zt258,0.1854,12,55,0.218181818,New York
zt332,0.1855,26,63,0.412698413,New York
zt327,0.1873,12,62,0.193548387,New York
zm14639,0.1876,23,62,0.370967742,New York
zt317,0.1883,17,62,0.274193548,New York
zt690,0.1883,17,62,0.274193548,Pennsylvania
zt249,0.1884,14,52,0.269230769,New York
zt288,0.1884,17,56,0.303571429,New York
zt19,0.1893,22,62,0.35483871,Vermont
zm13984,0.1896,30,62,0.483870968,New York
zm14667,0.1903,22,62,0.35483871,Ohio
zm14823,0.1903,16,63,0.253968254,Ohio
zm15313,0.1903,19,62,0.306451613,Quebec
