,ï..year,month,day,dotw,start_hour,start_minute,end_hour,end_minute,event,value,units,caregiver,age
1,2019,4,18,Thursday,11,53,NA,NA,birth,NA,,kch,0
383,2019,4,18,Thursday,NA,NA,NA,NA,trait_mass,4.39,kg,rainbow,0
382,2019,4,20,Saturday,NA,NA,NA,NA,trait_mass,4.14,kg,rainbow,2
381,2019,4,22,Monday,NA,NA,NA,NA,trait_mass,4.11,kg,rainbow,4
389,2019,4,22,Monday,NA,NA,NA,NA,trait_length,54.6,cm,rainbow,4
393,2019,4,22,Monday,NA,NA,NA,NA,trait_head_circum,33,cm,rainbow,4
380,2019,4,26,Friday,NA,NA,NA,NA,trait_mass,4.39,kg,rainbow,8
388,2019,4,26,Friday,NA,NA,NA,NA,trait_length,56.1,cm,rainbow,8
379,2019,4,30,Tuesday,NA,NA,NA,NA,trait_mass,4.74,kg,rainbow,12
387,2019,4,30,Tuesday,NA,NA,NA,NA,trait_length,56.5,cm,rainbow,12
378,2019,5,20,Monday,NA,NA,NA,NA,trait_mass,5.53,kg,rainbow,32
386,2019,5,20,Monday,NA,NA,NA,NA,trait_length,61.6,cm,rainbow,32
392,2019,5,20,Monday,NA,NA,NA,NA,trait_head_circum,38.7,cm,rainbow,32
377,2019,6,24,Monday,NA,NA,NA,NA,trait_mass,6.69,kg,rainbow,67
385,2019,6,24,Monday,NA,NA,NA,NA,trait_length,65.4,cm,rainbow,67
391,2019,6,24,Monday,NA,NA,NA,NA,trait_head_circum,40.6,cm,rainbow,67
376,2019,8,19,Monday,NA,NA,NA,NA,trait_mass,7.82,kg,rainbow,123
384,2019,8,19,Monday,NA,NA,NA,NA,trait_length,68.6,cm,rainbow,123
390,2019,8,19,Monday,NA,NA,NA,NA,trait_head_circum,42.5,cm,rainbow,123
64,2019,8,22,Thursday,10,30,NA,NA,wet,NA,,jr,126
65,2019,8,22,Thursday,12,20,NA,NA,dry,NA,,jr,126
66,2019,8,22,Thursday,13,30,NA,NA,bowel,NA,,jr,126
67,2019,8,22,Thursday,11,0,NA,NA,caregiver_change,NA,,vona_jr,126
68,2019,8,22,Thursday,10,45,NA,NA,bottle,2,oz,jr,126
